"","X.1","X","id","tract","geo.id","sq.miles","area","median.income","total.income","income.quantile","total.pop","white.pop","white.ratio","bmp.installations","bmp.per.pop","bmp.per.sqmi","volume","impervious"
"157",157,157,157,8002,11001008002,0.22320412,578096.01563321,72447,162596832,4,4859,322,0.0662687795842766,9,0.00305498981670061,40.3218363531999,64403.96,NA
"158",158,158,158,8100,11001008100,0.11284082,292256.371732737,72100,168364052,4,3143,979,0.311485841552657,12,0.00425079702444208,106.34449483795,9131.78,NA
"159",159,159,159,8200,11001008200,0.13132069,340119.023976683,67792.5,147633111,4,2922,58,0.0198494182067077,12,0.00422089342244108,91.3793553780444,5133.77,NA
"160",160,160,160,8301,11001008301,0.11735394,303945.306896789,80765,126739845,4,3822,397,0.103872318158032,20,0.00898876404494382,170.424614631601,15106.91,NA
"161",161,161,161,8302,11001008302,0.10072175,260868.12305757,69139,121676185,4,1774,156,0.0879368658399098,34,0.015880429705745,337.563634468226,4243.34,NA
"162",162,162,162,8402,11001008402,0.10360556,268337.16866105,55894.5,84827411,3,2784,1321,0.474497126436782,17,0.00816914944738107,164.083858047773,4.69,NA
"163",163,163,163,8410,11001008410,0.08499133,220126.527661906,48372,54787972,3,3031,1662,0.548333883206862,22,0.0150375939849624,258.849932104839,2755.32,NA
"164",164,164,164,8701,11001008701,0.14844409,384468.417754861,37790,70853972,2,2910,2276,0.78213058419244,10,0.00423728813559322,67.3654303111697,612.2,NA
"165",165,165,165,8702,11001008702,0.18316221,474387.95575955,41675,59322798,3,2918,2515,0.861891706648389,23,0.014771997430957,125.57175412985,1700.06,NA
"166",166,166,166,8802,11001008802,0.18214025,471741.081255413,31959.5,80440359,2,2279,1743,0.764809126810004,64,0.0158808933002481,351.377578541811,4371.43,NA
